Date,Time,Source IP,Destination IP,Source Port,Destination Port
Jan,29 00:45:05,69.139.205.220,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=108 ID=41228 DF PROTO=TCP,1264,40686
Jan,29 00:45:05,66.24.36.155,216.58.112.55 LEN=64 TOS=0x00 PREC=0x00 TTL=49 ID=61896 DF PROTO=TCP,65522,40686
Jan,29 00:45:05,210.213.141.86,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=63803 DF PROTO=TCP,61459,40686
Jan,29 00:45:07,66.24.36.155,216.58.112.55 LEN=64 TOS=0x00 PREC=0x00 TTL=49 ID=61963 DF PROTO=TCP,65522,40686
Jan,29 00:45:30,205.250.109.214,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=115 ID=1291 DF PROTO=TCP,4895,40686
Jan,29 01:04:42,72.129.201.114,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=6285 PROTO=UDP,36319,40686
Jan,29 01:04:42,68.43.45.155,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=112 ID=55290 PROTO=UDP,31159,40686
Jan,29 01:04:42,68.46.224.58,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=107 ID=3449 PROTO=UDP,16587,40686
Jan,29 01:04:43,71.194.107.51,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=111 ID=30205 PROTO=UDP,1881,40686
Jan,29 01:04:43,67.8.58.212,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=51275 PROTO=UDP,43500,40686
Jan,29 01:10:47,24.149.194.222,216.58.112.55 LEN=125 TOS=0x00 PREC=0x00 TTL=111 ID=30701 PROTO=UDP,63242,40686
Jan,29 01:15:02,72.230.93.214,216.58.112.55 LEN=124 TOS=0x00 PREC=0x00 TTL=113 ID=33005 PROTO=UDP,62286,40686
Jan,29 01:15:04,67.173.3.23,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=29333 DF PROTO=TCP,54734,40686
Jan,29 01:15:05,75.171.122.220,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=110 ID=167 DF PROTO=TCP,60557,40686
Jan,29 01:15:05,68.81.84.44,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=112 ID=11466 DF PROTO=TCP,61443,40686
Jan,29 01:15:07,67.173.3.23,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=29559 DF PROTO=TCP,54734,40686
Jan,29 01:15:23,75.132.195.128,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=116 ID=11600 DF PROTO=TCP,1840,40686
Jan,29 01:34:42,68.206.75.25,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=1879 PROTO=UDP,18422,40686
Jan,29 01:34:42,75.171.122.220,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=110 ID=8251 PROTO=UDP,8870,40686
Jan,29 01:34:42,72.129.201.114,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=3564 PROTO=UDP,36319,40686
Jan,29 01:34:43,24.166.109.127,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=16001 PROTO=UDP,39765,40686
Jan,29 01:34:43,76.250.142.171,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=21116 PROTO=UDP,36318,40686
Jan,29 01:45:05,69.115.209.62,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=114 ID=22396 DF PROTO=TCP,52728,40686
Jan,29 01:45:05,99.251.241.22,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=119 ID=9312 DF PROTO=TCP,64158,40686
Jan,29 01:45:05,72.129.201.114,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=114 ID=31284 DF PROTO=TCP,58327,40686
Jan,29 01:45:07,72.129.201.114,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=114 ID=31709 DF PROTO=TCP,58327,40686
Jan,29 01:45:08,69.115.209.62,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=114 ID=22462 DF PROTO=TCP,52728,40686
Jan,29 02:04:42,71.194.107.51,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=111 ID=4128 PROTO=UDP,1881,40686
Jan,29 02:04:42,74.12.248.246,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=49856 PROTO=UDP,60066,40686
Jan,29 02:04:42,98.207.166.40,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=110 ID=20830 PROTO=UDP,61989,40686
Jan,29 02:04:42,70.189.221.153,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=10579 PROTO=UDP,39280,40686
Jan,29 02:04:42,68.206.75.25,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=43603 PROTO=UDP,18422,40686
Jan,29 02:15:05,83.8.141.56,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=115 ID=12744 DF PROTO=TCP,1212,40686
Jan,29 02:15:05,24.67.56.239,216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=118 ID=34270 DF PROTO=TCP,2921,40686
Jan,29 02:15:06,24.166.109.127,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=115 ID=16403 DF PROTO=TCP,3430,40686
Jan,29 02:15:06,72.229.247.131,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=115 ID=5930 DF PROTO=TCP,1880,40686
Jan,29 02:15:08,24.67.56.239,216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=118 ID=34501 DF PROTO=TCP,2921,40686
Jan,29 02:15:32,75.138.144.249,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=49227 DF PROTO=TCP,1831,40686
Jan,29 02:15:47,75.138.144.249,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=51328 DF PROTO=TCP,1832,40686
Jan,29 02:34:42,99.237.83.20,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=119 ID=35043 PROTO=UDP,46011,40686
Jan,29 02:34:42,67.174.105.41,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=108 ID=53504 PROTO=UDP,10794,40686
Jan,29 02:34:42,98.207.166.40,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=110 ID=11551 PROTO=UDP,61989,40686
Jan,29 02:34:42,71.228.199.109,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=110 ID=16662 PROTO=UDP,37091,40686
Jan,29 02:34:42,70.189.221.153,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=9252 PROTO=UDP,39280,40686
Jan,29 02:45:04,67.174.105.41,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=108 ID=35421 DF PROTO=TCP,4358,40686
Jan,29 02:45:05,74.161.10.148,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=110 ID=39949 DF PROTO=TCP,10306,40686
Jan,29 02:45:05,122.24.143.91,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=105 ID=61572 DF PROTO=TCP,1098,40686
Jan,29 02:45:06,98.207.166.40,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=110 ID=91 DF PROTO=TCP,60001,40686
Jan,29 02:45:07,67.174.105.41,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=108 ID=35824 DF PROTO=TCP,4358,40686
Jan,29 02:45:25,75.117.31.43,216.58.112.55 LEN=64 TOS=0x00 PREC=0x00 TTL=109 ID=23680 DF PROTO=TCP,61089,40686
Jan,29 02:55:11,74.161.10.148,216.58.112.55 LEN=40 TOS=0x00 PREC=0x00 TTL=238 ID=10558 PROTO=TCP,10306,40686
Jan,29 02:59:05,76.26.35.233,216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=110 ID=42009 PROTO=UDP,6346,40686
Jan,29 03:01:17,68.81.84.44,216.58.112.55 LEN=125 TOS=0x00 PREC=0x00 TTL=112 ID=42161 PROTO=UDP,63422,40686
Jan,29 03:04:42,74.133.109.145,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=8893 PROTO=UDP,31706,40686
Jan,29 03:04:42,24.166.109.127,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=5947 PROTO=UDP,39765,40686
Jan,29 03:15:06,24.165.92.109,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=53574 DF PROTO=TCP,3515,40686
Jan,29 03:15:07,79.64.233.230,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=116 ID=7443 DF PROTO=TCP,2073,40686
Jan,29 03:15:09,24.165.92.109,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=53842 DF PROTO=TCP,3515,40686
Jan,29 03:15:22,79.64.233.230,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=116 ID=8862 DF PROTO=TCP,2074,40686
Jan,29 03:15:57,203.173.191.14,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=41235 DF PROTO=TCP,4644,40686
Jan,29 03:16:03,203.173.191.14,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=41572 DF PROTO=TCP,4645,40686
Jan,29 03:31:27,78.53.64.123,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=116 ID=52136 PROTO=UDP,35053,40686
Jan,29 03:31:27,78.53.64.123,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=116 ID=52508 PROTO=UDP,35053,40686
Jan,29 03:31:28,78.53.64.123,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=116 ID=52879 PROTO=UDP,35053,40686
Jan,29 03:34:42,67.82.213.195,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=116 ID=54811 PROTO=UDP,21984,40686
Jan,29 03:34:43,24.174.141.170,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=46280 PROTO=UDP,41573,40686
Jan,29 03:34:43,86.150.137.160,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=108 ID=47228 PROTO=UDP,13648,40686
Jan,29 03:34:43,203.173.191.14,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=36589 PROTO=UDP,35461,40686
Jan,29 03:34:43,72.74.229.181,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=30775 PROTO=UDP,50521,40686
Jan,29 03:45:05,75.117.31.43,216.58.112.55 LEN=64 TOS=0x00 PREC=0x00 TTL=109 ID=27088 DF PROTO=TCP,61308,40686
Jan,29 03:45:05,72.129.201.114,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=114 ID=18585 DF PROTO=TCP,59557,40686
Jan,29 03:45:05,64.56.143.6,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=105 ID=63140 DF PROTO=TCP,2082,40686
Jan,29 03:45:05,59.100.237.219,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=107 ID=26406 DF PROTO=TCP,4149,40686
Jan,29 04:00:56,87.99.7.181,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=106 ID=811 PROTO=UDP,6348,40686
Jan,29 04:00:57,87.99.7.181,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=106 ID=849 PROTO=UDP,6348,40686
Jan,29 04:00:58,87.99.7.181,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=106 ID=879 PROTO=UDP,6348,40686
Jan,29 04:00:59,87.99.7.181,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=106 ID=909 PROTO=UDP,6348,40686
Jan,29 04:01:00,87.99.7.181,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=106 ID=936 PROTO=UDP,6348,40686
Jan,29 04:01:16,87.99.7.181,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=106 ID=1340 PROTO=UDP,6348,40686
Jan,29 04:04:42,69.115.209.62,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=11570 PROTO=UDP,18019,40686
Jan,29 04:04:42,71.14.121.15,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=41311 PROTO=UDP,17145,40686
Jan,29 04:04:42,68.12.143.82,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=47656 PROTO=UDP,23960,40686
Jan,29 04:04:42,72.74.229.181,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=23883 PROTO=UDP,50521,40686
Jan,29 04:04:42,24.67.56.239,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=118 ID=6595 PROTO=UDP,43311,40686
Jan,29 04:10:13,84.58.185.23,216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=51 ID=8261 PROTO=UDP,33634,40686
Jan,29 04:15:04,74.75.29.197,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=114 ID=9547 DF PROTO=TCP,60863,40686
Jan,29 04:15:05,75.164.140.156,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=111 ID=9079 DF PROTO=TCP,2209,40686
Jan,29 04:15:05,66.191.18.21,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=112 ID=26701 DF PROTO=TCP,65397,40686
Jan,29 04:15:07,74.75.29.197,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=114 ID=9667 DF PROTO=TCP,60863,40686
Jan,29 04:15:08,75.164.140.156,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=111 ID=9299 DF PROTO=TCP,2209,40686
Jan,29 04:15:30,68.81.84.44,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=112 ID=41328 DF PROTO=TCP,62410,40686
Jan,29 04:15:45,99.245.91.141,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=119 ID=32346 DF PROTO=TCP,61381,40686
Jan,29 04:21:14,83.11.117.100,216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=115 ID=8546 PROTO=UDP,6346,40686
Jan,29 04:34:42,68.12.143.82,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=46805 PROTO=UDP,23960,40686
Jan,29 04:34:43,71.206.130.118,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=111 ID=23121 PROTO=UDP,24439,40686
Jan,29 04:34:43,76.17.177.237,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=112 ID=60501 PROTO=UDP,4226,40686
Jan,29 04:34:43,24.166.109.127,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=46458 PROTO=UDP,39765,40686
Jan,29 04:34:43,24.165.92.109,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=64073 PROTO=UDP,9541,40686
Jan,29 04:35:31,71.206.130.118,216.58.112.55 LEN=40 TOS=0x00 PREC=0x00 TTL=239 ID=13093 PROTO=TCP,3134,40686
Jan,29 04:35:43,71.206.130.118,216.58.112.55 LEN=40 TOS=0x00 PREC=0x00 TTL=239 ID=27751 PROTO=TCP,3135,40686
Jan,29 04:44:57,195.205.8.254,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=15212 PROTO=UDP,6346,40686
Jan,29 04:44:58,195.205.8.254,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=15233 PROTO=UDP,6346,40686
Jan,29 04:44:59,195.205.8.254,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=15268 PROTO=UDP,6346,40686
Jan,29 04:45:00,195.205.8.254,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=15322 PROTO=UDP,6346,40686
Jan,29 04:45:01,195.205.8.254,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=15361 PROTO=UDP,6346,40686
Jan,29 04:58:54,75.121.38.232,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=109 ID=41505 PROTO=UDP,37293,40686
Jan,29 07:26:33,99.233.139.230,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=120 ID=5218 DF PROTO=TCP,55119,40686
Jan,29 07:26:36,99.233.139.230,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=120 ID=5285 DF PROTO=TCP,55119,40686
Jan,29 07:26:39,99.233.139.230,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=120 ID=5359 DF PROTO=TCP,55121,40686
Jan,29 07:26:42,99.233.139.230,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=120 ID=5419 DF PROTO=TCP,55121,40686
Jan,29 07:26:42,99.233.139.230,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=120 ID=5418 DF PROTO=TCP,55119,40686
Jan,29 11:17:19,89.49.78.88,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=8785 PROTO=UDP,61731,40686
Jan,29 11:17:19,89.49.78.88,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=8816 PROTO=UDP,61731,40686
Jan,29 11:17:20,89.49.78.88,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=8981 PROTO=UDP,61731,40686
Jan,29 11:17:21,89.49.78.88,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=9117 PROTO=UDP,61731,40686
Jan,29 11:17:22,89.49.78.88,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=9274 PROTO=UDP,61731,40686
Jan,29 12:18:21,79.185.83.220,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=44349 PROTO=UDP,6346,40686
Jan,29 12:18:22,79.185.83.220,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=44491 PROTO=UDP,6346,40686
Jan,29 12:18:23,79.185.83.220,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=44574 PROTO=UDP,6346,40686
Jan,29 12:18:24,79.185.83.220,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=44671 PROTO=UDP,6346,40686
Jan,29 12:18:25,79.185.83.220,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=113 ID=44771 PROTO=UDP,6346,40686
